Field,PIC,ByteLength,Offset(1-based),Group,Confidence,Notes
OMGEXPL-PACK-PRODNO,X(12),12,1,Input,CONFIRMED,"Kit/pack product number to explode; required (validated non-blank, error 61201)"
OMGEXPL-INP-EFF-DATE,X(10),10,13,Input,CONFIRMED,"Effective date; if blank, defaults to current date; if supplied, validated via SYH208/SYU208 (error 61202 if invalid)"
OMGEXPL-REQUEST-TYPE,X(01),1,23,Input,CONFIRMED,"88: OMGEXPL-GET-COMP-ONLY='C' (default), OMGEXPL-GET-LEVL-ONLY='L', OMGEXPL-GET-STRUCTURE='S', OMGEXPL-DEFAULT=' ' (normalized to 'C'). Any other value -> error 61203"
OMGEXPL-ROLLUP-COST-SW,X(01),1,24,Input,INFERRED/BLOCKED (see notes),"88: OMGEXPL-ROLLUP-COSTS='Y', OMGEXPL-NO-ROLLUP-COSTS='N', OMGEXPL-DEFAULT-ROLLUP=' '. LOW-VALUES also accepted. Any other value -> error 61204. Passed through to OMGPK; actual rollup arithmetic is inside A6O015U (BLOCKED, not supplied)"
OMGEXPL-T-NEXT-PRODUCT-NO,X(08),8,25,Input,INFERRED/BLOCKED (see notes),Declared but no MOVE/reference found in A6O012U.CBL's own logic -- BLOCKED/unused in this program; may be consumed only by A6O015U
OMGEXPL-T-INPUT-FILLER,X(24),24,33,Input,CONFIRMED,Filler/reserved
OMGEXPL-PRODUCT-TYPE,X(01),1,57,Output-header,INFERRED/BLOCKED (see notes),Pass-through from OMGPK-PRODUCT-TYPE (A6O015U output); domain not confirmed (BLOCKED)
OMGEXPL-PACK-STATUS,X(01),1,58,Output-header,INFERRED/BLOCKED (see notes),"Declared but no MOVE found in A6O012U.CBL -- BLOCKED, never populated by this program"
OMGEXPL-CUSTOM-SOURCE,X(01),1,59,Output-header,CONFIRMED,Pass-through from OMGPK-CUSTOM-SOURCE
OMGEXPL-BASE-UOM,X(02),2,60,Output-header,CONFIRMED,Pass-through from OMGPK-BASE-UOM; the pack's own base unit of measure
OMGEXPL-OH-FEE,9(05)V9(08),13,62,Output-header,CONFIRMED,"Pass-through from OMGPK-OH-FEE; overhead fee amount for the pack, DISPLAY numeric"
OMGEXPL-OH-EFF-DATE,X(10),10,75,Output-header,CONFIRMED,Pass-through from OMGPK-OH-EFF-DATE
OMGEXPL-OH-EXP-DATE,X(10),10,85,Output-header,CONFIRMED,Pass-through from OMGPK-OH-EXP-DATE
OMGEXPL-TP-FEE-COST,9(05)V9(08),13,95,Output-header,CONFIRMED,"Pass-through from OMGPK-TP-FEE-COST; third-party fee, cost basis"
