Seq,Level,COBOLFieldName,GroupPath,PICClause,Usage,ByteLength,DecimalDigits,Signed,StartOffset,EndOffset,DefaultValue,88LevelConditions,ProposedCSharpType,FieldKind,Confidence,Notes
1,1,OMGPR,,,,,,,,,,,,Group,CONFIRMED,
2,2,OMGPR-C,OMGPR,,,,,,,,,,,Group,CONFIRMED,
3,10,OMGPR-PRC-INPUT-FIELDS,OMGPR > OMGPR-C,,,,,,,,,,,Group,CONFIRMED,
4,15,OMGPR-I-DIVISION,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(2),DISPLAY,2,,N,1,2,SPACE,,string,Leaf,CONFIRMED,
5,15,OMGPR-S-ACCOUNT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(6),DISPLAY,6,,N,3,8,SPACE,,string,Leaf,CONFIRMED,
6,15,OMGPR-I-VENDOR,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(4),DISPLAY,4,,N,9,12,SPACE,,string,Leaf,CONFIRMED,
7,15,OMGPR-I-VND-PRODUCT,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(8),DISPLAY,8,,N,13,20,SPACE,,string,Leaf,CONFIRMED,
8,15,OMGPR-Q-ORD-LIN-ORDERED,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,S9(7),COMP,4,,Y,21,24,ZERO,,int,Leaf,INFERRED,7-digit PIC S9(7) COMP: byte length shown uses mainframe fullword sizing (4 bytes). A native/minimal binary sizing convention (e.g. Micro Focus COMP) would give 3 bytes instead. Compiler/platform not confirmed from the copybook alone -- see data dictionary notes.
9,15,OMGPR-C-ORD-LIN-CUST-UOM,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(2),DISPLAY,2,,N,25,26,SPACE,,string,Leaf,CONFIRMED,
10,15,OMGPR-C-SHIP-TO-SUFFIX,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(3),DISPLAY,3,,N,27,29,SPACE,,string,Leaf,CONFIRMED,
11,15,OMGPR-C-BILL-TO-SUFFIX,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(3),DISPLAY,3,,N,30,32,SPACE,,string,Leaf,CONFIRMED,
12,15,OMGPR-D-PRICING,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(10),DISPLAY,10,,N,33,42,SPACE,,string,Leaf,CONFIRMED,
13,15,OMGPR-CUST-TYPE,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(01),DISPLAY,1,,N,43,43,SPACE,OMGPR-ECOMMERCE-PRICING='Y',string,Leaf+88,CONFIRMED,
14,15,OMGPR-CREDIT-ACCT-ORDER,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,X(1),DISPLAY,1,,N,44,44,SPACE,,string,Leaf,CONFIRMED,
15,15,OMGPR-JIT-DATA,OMGPR > OMGPR-C > OMGPR-PRC-INPUT-FIELDS,,,,,,,,,,,Group,CONFIRMED,
